"利用日","利用店名・商品名","利用者","支払方法","利用金額","手数料/利息","支払総額","2月支払金額","3月繰越残高","新規サイン"
"2026/01/30","ｲﾅｷﾞﾃﾝﾈﾝｵﾝｾﾝ ﾄｷﾉ","本人","1回払い","2850","0","2850","2850","0","*"
"2026/01/30","NINTENDO CD155690386利用国JPN","本人","1回払い","306","0","306","306","0","*"
"","現地利用額　　　　　　　３０６．０００変換レート　　　１．０００円","","","","","","","",""
"2026/01/29","ﾌ-ｽﾞﾏ-ｹﾂﾄｻｴｷﾌｼﾞﾐ","本人","1回払い","322","0","322","322","0","*"
"2026/01/29","ﾌ-ｽﾞﾏ-ｹﾂﾄｻｴｷﾌｼﾞﾐ","本人","1回払い","1117","0","1117","1117","0","*"
"2026/01/27","ｼｴ-ｷ-ｽﾞ ｷﾁｼﾞﾖｳｼﾞ","本人","1回払い","3500","0","3500","3500","0","*"
"2026/01/27","ｱﾄﾚｷﾁｼﾞｮｳｼﾞ","本人","1回払い","2970","0","2970","2970","0","*"
"2026/01/27","ｽｷﾞﾔﾂｷﾖｸ ｷﾁｼﾞﾖｳｼ","本人","1回払い","2163","0","2163","2163","0","*"
"2026/01/27","ﾛ-ｿﾝ","本人","1回払い","271","0","271","271","0","*"
"2026/01/27","ﾀﾞｲｿ-","本人","1回払い","110","0","110","110","0","*"
"2026/01/27","ﾏｸﾄﾞﾅﾙﾄﾞｸﾆﾀﾁﾃﾝ","本人","1回払い","280","0","280","280","0","*"
"2026/01/27","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","194","0","194","194","0","*"
"2026/01/27","ｾｲﾕｳ","本人","1回払い","1770","0","1770","1770","0","*"
"2026/01/26","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","356","0","356","356","0","*"
"2026/01/25","ｻﾝﾄﾞﾗﾂｸﾞ","本人","1回払い","2548","0","2548","2548","0","*"
"2026/01/25","ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","446","0","446","446","0","*"
"2026/01/25","ﾄｳｷﾖｳｴｷｸﾞﾗﾝｽﾀ","本人","1回払い","3200","0","3200","3200","0","*"
"2026/01/24","ｽﾃ-ｷﾏﾂｸｽ ｼﾝｼﾞﾕｸﾁ","本人","1回払い","1850","0","1850","1850","0","*"
"2026/01/24","ｼﾔ-ｸｺ-ﾋ-","本人","1回払い","1320","0","1320","1320","0","*"
